ges,price,surface,link,city,hasPictures,title,nbrRooms,ces,state,postalCode,isPro,m2price
,330000,100,//www.leboncoin.fr/ventes_immobilieres/935062761.htm?ca=16_s,Cornebarrieu,True,Maison T4,0,, Haute-Garonne ,31700,True,3300
d,399000,135,//www.leboncoin.fr/ventes_immobilieres/909627584.htm?ca=16_s,Toulouse,True,Maison restauré dans petite copropriètè,5,d, Haute-Garonne ,31000,True,2955
d,199900,144,//www.leboncoin.fr/ventes_immobilieres/905227798.htm?ca=16_s,VillemursurTarn,True,Maison de ville de 144 m2 a 35 MN DE TOULOUSE,5,d, Haute-Garonne ,31340,True,1388
,499000,140,//www.leboncoin.fr/ventes_immobilieres/928344845.htm?ca=16_s,Blagnac,True,Maison T5/6 Blagnac,6,, Haute-Garonne ,31700,True,3564
,220000,145,//www.leboncoin.fr/ventes_immobilieres/935041885.htm?ca=16_s,AvignonetLauragais,True,Charmante Maison au bord du Canal du Midi,5,, Haute-Garonne ,31290,True,1517
d,450000,135,//www.leboncoin.fr/ventes_immobilieres/935041869.htm?ca=16_s,PlaisanceduTouch,True,Maison plain-pied,5,d, Haute-Garonne ,31830,True,3333
d,260000,91,//www.leboncoin.fr/ventes_immobilieres/924944700.htm?ca=16_s,Blagnac,True,"Blagnac centre, Maison avec 2 appartements",6,d, Haute-Garonne ,31700,True,2857
d,256000,120,//www.leboncoin.fr/ventes_immobilieres/934815206.htm?ca=16_s,Mauran,True,Maison dans unpetit village sans vis à vis,5,d, Haute-Garonne ,31220,True,2133
d,293000,136,//www.leboncoin.fr/ventes_immobilieres/915683435.htm?ca=16_s,LabarthesurLèze,True,"Labarthe sur Léze, Maison T4 p.p+ spacieuse",4,d, Haute-Garonne ,31860,True,2154
,159000,67,//www.leboncoin.fr/ventes_immobilieres/932202566.htm?ca=16_s,VilleneuveTolosane,False,Maison de ville T3 - avec jardin,3,d, Haute-Garonne ,31270,True,2373
d,322000,161,//www.leboncoin.fr/ventes_immobilieres/915675042.htm?ca=16_s,Grenade,True,"Grenade S/G, Maison 6 pièces+terrain 8000 m2",6,d, Haute-Garonne ,31330,True,2000
d,599000,240,//www.leboncoin.fr/ventes_immobilieres/929436145.htm?ca=16_s,PinBalma,True,"Pin Balma, Maison architecte T7+Piscine",7,d, Haute-Garonne ,31130,True,2495
d,310000,109,//www.leboncoin.fr/ventes_immobilieres/917006614.htm?ca=16_s,SaintOrensdeGameville,True,"Saint-Orens-de-Gameville, Maison T4+terrain 634m2",4,d, Haute-Garonne ,31650,True,2844
d,298500,200,//www.leboncoin.fr/ventes_immobilieres/913342854.htm?ca=16_s,LagardellesurLèze,True,Lagardelle sur Léze-Maison 6 pces+terrain 4000 m2,6,d, Haute-Garonne ,31870,True,1492
d,351000,170,//www.leboncoin.fr/ventes_immobilieres/891595010.htm?ca=16_s,Toulouse,True,Maison T6 - Barrières de Paris-Métro à 7 mm à Pied,6,d, Haute-Garonne ,31200,True,2064
d,219000,106,//www.leboncoin.fr/ventes_immobilieres/915314470.htm?ca=16_s,Aussonne,True,Aussonne Maison T4 et dépendances,4,d, Haute-Garonne ,31840,True,2066
d,226000,149,//www.leboncoin.fr/ventes_immobilieres/933239785.htm?ca=16_s,SainteFoydePeyrolières,True,"Sainte-Foy-Peyrolières, maison 6 pièces plain-pied",6,d, Haute-Garonne ,31470,True,1516
,278250,103,//www.leboncoin.fr/ventes_immobilieres/916478810.htm?ca=16_s,LUnion,True,Villa 4 pièces 103 m²,4,d, Haute-Garonne ,31240,True,2701
d,240000,98,//www.leboncoin.fr/ventes_immobilieres/935013928.htm?ca=16_s,Toulouse,True,"Maison côteaux,entr tlse albi",6,d, Haute-Garonne ,31000,True,2448
d,598000,300,//www.leboncoin.fr/ventes_immobilieres/903288242.htm?ca=16_s,BagnèresdeLuchon,True,Grande maison bourgeoise idéalement située à Lucho,11,d, Haute-Garonne ,31110,True,1993
d,154000,80,//www.leboncoin.fr/ventes_immobilieres/929764575.htm?ca=16_s,LavernoseLacasse,True,Maison de 80 m² à Lavernose Lacasse,4,d, Haute-Garonne ,31410,True,1925
d,160000,84,//www.leboncoin.fr/ventes_immobilieres/923512443.htm?ca=16_s,Cazères,True,Maison de 2013,4,d, Haute-Garonne ,31220,True,1904
d,214000,84,//www.leboncoin.fr/ventes_immobilieres/898777524.htm?ca=16_s,SaintOrensdeGameville,True,Saint Orens villa T4 neuve en location accession,4,d, Haute-Garonne ,31650,True,2547
d,540000,170,//www.leboncoin.fr/ventes_immobilieres/891721547.htm?ca=16_s,Tournefeuille,True,Villa T7 170m² avec piscine sur terrain 1000m²,7,d, Haute-Garonne ,31170,True,3176
d,179000,98,//www.leboncoin.fr/ventes_immobilieres/929769732.htm?ca=16_s,VillefranchedeLauragais,True,Maison de 98 m² sur la commune de Villefranche,5,d, Haute-Garonne ,31290,True,1826
d,300000,360,//www.leboncoin.fr/ventes_immobilieres/933559831.htm?ca=16_s,CheinDessus,True,Maison de maitre,13,d, Haute-Garonne ,31160,True,833
d,318000,150,//www.leboncoin.fr/ventes_immobilieres/934992747.htm?ca=16_s,Lévignac,True,Maison de village Lévignac sur save,6,d, Haute-Garonne ,31530,True,2120
,189000,113,//www.leboncoin.fr/ventes_immobilieres/934990072.htm?ca=16_s,BagnèresdeLuchon,True,Maison 5 pièces sur terrain de 930 m²,5,, Haute-Garonne ,31110,True,1672
,67000,149,//www.leboncoin.fr/ventes_immobilieres/928726399.htm?ca=16_s,Cazères,True,Maison 6 pièces 149 m²,6,, Haute-Garonne ,31220,True,449
d,185000,120,//www.leboncoin.fr/ventes_immobilieres/930500677.htm?ca=16_s,Fronton,True,Maison 8km de Fronton. 120m².4 ch,4,d, Haute-Garonne ,31620,True,1541
,193000,88,//www.leboncoin.fr/ventes_immobilieres/909904240.htm?ca=16_s,LabarthesurLèze,True,Maison de 88 m² à Labarthe,4,d, Haute-Garonne ,31860,True,2193
,223600,85,//www.leboncoin.fr/ventes_immobilieres/926300869.htm?ca=16_s,VillefranchedeLauragais,True,Maison 6 pièces 85 m²,6,, Haute-Garonne ,31290,True,2630
d,520000,195,//www.leboncoin.fr/ventes_immobilieres/925168242.htm?ca=16_s,Goyrans,True,Villa 7 pièces à Goyrans,7,d, Haute-Garonne ,31120,True,2666
,185000,80,//www.leboncoin.fr/ventes_immobilieres/909919882.htm?ca=16_s,Labastidette,True,Villa de 80 m² + garage à Labastidette,4,d, Haute-Garonne ,31600,True,2312
d,265000,80,//www.leboncoin.fr/ventes_immobilieres/909844692.htm?ca=16_s,Aussonne,True,Villa de 80 m² + Garage - Hyper centre Aussonne,4,d, Haute-Garonne ,31840,True,3312
,840000,630,//www.leboncoin.fr/ventes_immobilieres/934953305.htm?ca=16_s,Montgiscard,True,Ferme Lauragaise avec dépendances et gîtes,0,, Haute-Garonne ,31450,True,1333
d,314000,107,//www.leboncoin.fr/ventes_immobilieres/934945215.htm?ca=16_s,Toulouse,True,Villa type 5 107m²,5,d, Haute-Garonne ,31500,True,2934
d,136000,53,//www.leboncoin.fr/ventes_immobilieres/934943202.htm?ca=16_s,Toulouse,True,Duplex style maison mitoyenne - plein sud,2,d, Haute-Garonne ,31000,True,2566
d,250000,300,//www.leboncoin.fr/ventes_immobilieres/874054721.htm?ca=16_s,VillemursurTarn,True,Immeuble de rapport en centre ville. +de 300m2,7,d, Haute-Garonne ,31340,True,833
d,375000,160,//www.leboncoin.fr/ventes_immobilieres/876993983.htm?ca=16_s,Auterive,True,"VILLA T7+sous sol, piscine, vue pyrénéés 375000",7,d, Haute-Garonne ,31190,True,2343
d,469000,190,//www.leboncoin.fr/ventes_immobilieres/935002778.htm?ca=16_s,VillemursurTarn,True,Maison 10 pièces 190 m²,10,d, Haute-Garonne ,31340,True,2468
d,385000,177,//www.leboncoin.fr/ventes_immobilieres/928225986.htm?ca=16_s,Rieumes,True,VILLA Type 5/6 de 177m2,6,d, Haute-Garonne ,31370,True,2175
d,215000,80,//www.leboncoin.fr/ventes_immobilieres/934931303.htm?ca=16_s,,True,Maison ancienne renovee reg VERFEIL GRAGNAGUE,3,d,,31380,True,2687
d,286000,120,//www.leboncoin.fr/ventes_immobilieres/934926860.htm?ca=16_s,Aucamville,True,Maison T5 avec jardin paysagé et piscine,5,d, Haute-Garonne ,31140,True,2383
d,0,180,//www.leboncoin.fr/ventes_immobilieres/934920224.htm?ca=16_s,Seysses,False,Très belle maison traditionnelle seysses,4,d, Haute-Garonne ,31600,True,0
d,390000,123,//www.leboncoin.fr/ventes_immobilieres/884095509.htm?ca=16_s,Toulouse,True,Villa récente 123m2 T4 Toulouse Saint Simon Centre,4,d, Haute-Garonne ,31100,True,3170
d,307000,107,//www.leboncoin.fr/ventes_immobilieres/934514924.htm?ca=16_s,Fonsorbes,True,Charmante maison T4 FONSORBES / terrain 1000 m²,4,d, Haute-Garonne ,31470,True,2869
d,599000,270,//www.leboncoin.fr/ventes_immobilieres/922057528.htm?ca=16_s,Toulouse,True,"Villa 270m² + Piscine, proche Toulouse, Gratentour",9,d, Haute-Garonne ,31000,True,2218
d,405000,150,//www.leboncoin.fr/ventes_immobilieres/891707355.htm?ca=16_s,PlaisanceduTouch,True,Maison t5 plaisance du touch,5,d, Haute-Garonne ,31830,True,2700
d,235000,95,//www.leboncoin.fr/ventes_immobilieres/934898075.htm?ca=16_s,Pechbonnieu,True,Pavillon au calme proche commodités,4,d, Haute-Garonne ,31140,True,2473
,249000,170,//www.leboncoin.fr/ventes_immobilieres/919673565.htm?ca=16_s,VillefranchedeLauragais,True,"20 mn pèage labège, maison T5 rénovée avec jardin",7,, Haute-Garonne ,31290,True,1464
d,200000,90,//www.leboncoin.fr/ventes_immobilieres/934895719.htm?ca=16_s,SaintJuliensurGaronne,True,Maison neuve,4,d, Haute-Garonne ,31220,True,2222
d,199000,81,//www.leboncoin.fr/ventes_immobilieres/916255566.htm?ca=16_s,Péchabou,True,Péchabou villa T4 neuve en location accession,4,d, Haute-Garonne ,31320,True,2456
d,375000,160,//www.leboncoin.fr/ventes_immobilieres/934886697.htm?ca=16_s,CastelnaudEstrétefonds,True,Superbe VILLA CONTEMPORAINE d'architecte-2014-FNR,0,d, Haute-Garonne ,31620,True,2343
d,310000,125,//www.leboncoin.fr/ventes_immobilieres/916399399.htm?ca=16_s,Toulouse,True,Maison individuelle 125 m2 a Lardenne Toulouse,5,d, Haute-Garonne ,31300,True,2480
d,299000,110,//www.leboncoin.fr/ventes_immobilieres/934876912.htm?ca=16_s,Aussonne,True,Agréable maison T4-110 m² plain pied (2010),4,d, Haute-Garonne ,31840,True,2718
,45000,0,//www.leboncoin.fr/ventes_immobilieres/934870922.htm?ca=16_s,Toulouse,True,Maison 2 étages - 200m2 - 45k,0,, Haute-Garonne ,31000,True,0
,90000,0,//www.leboncoin.fr/ventes_immobilieres/934870159.htm?ca=16_s,Toulouse,True,Grande maison 5 chambres + jardin 800m2 - 90K,0,, Haute-Garonne ,31000,True,0
d,212000,77,//www.leboncoin.fr/ventes_immobilieres/915000264.htm?ca=16_s,Toulouse,True,Agréable maison lumineuse avec jardin et garage,4,d, Haute-Garonne ,31200,True,2753
d,565000,188,//www.leboncoin.fr/ventes_immobilieres/925801722.htm?ca=16_s,Pibrac,True,Villa contemporaine Pibrac,6,d, Haute-Garonne ,31820,True,3005
d,190000,90,//www.leboncoin.fr/ventes_immobilieres/910997413.htm?ca=16_s,Eaunes,True,Villa 4 pièces 90 m²,4,d, Haute-Garonne ,31600,True,2111
d,370000,200,//www.leboncoin.fr/ventes_immobilieres/934861949.htm?ca=16_s,LacroixFalgarde,True,Maison T6/7 200 m2,6,d, Haute-Garonne ,31120,True,1850
d,398000,150,//www.leboncoin.fr/ventes_immobilieres/934861858.htm?ca=16_s,Fonsorbes,True,Maison 2009 domaine du banayre,7,d, Haute-Garonne ,31470,True,2653
d,620000,190,//www.leboncoin.fr/ventes_immobilieres/872309085.htm?ca=16_s,Toulouse,True,Maison 6 pièces 190 m²,6,d, Haute-Garonne ,31100,True,3263
d,325000,140,//www.leboncoin.fr/ventes_immobilieres/930556561.htm?ca=16_s,Toulouse,True,Maison T5/6 140m2 avec jardin calme,5,d, Haute-Garonne ,31100,True,2321
d,318000,200,//www.leboncoin.fr/ventes_immobilieres/662627551.htm?ca=16_s,Miremont,True,Maison centre village Miremont,7,d, Haute-Garonne ,31190,True,1590
d,225000,140,//www.leboncoin.fr/ventes_immobilieres/911616788.htm?ca=16_s,Fronton,True,Maison atypique 6 pièces - 140m²,6,d, Haute-Garonne ,31620,True,1607
d,500000,235,//www.leboncoin.fr/ventes_immobilieres/900355673.htm?ca=16_s,Roumens,True,Belle maison en pierres apparentes,9,d, Haute-Garonne ,31540,True,2127
d,410000,150,//www.leboncoin.fr/ventes_immobilieres/881010237.htm?ca=16_s,Montrabé,True,Proche Toulouse Agréable maison avec piscine,6,d, Haute-Garonne ,31850,True,2733
d,189000,102,//www.leboncoin.fr/ventes_immobilieres/934845487.htm?ca=16_s,SaintJuliensurGaronne,True,Villa 4 chambres avec portail électrique+carport,5,d, Haute-Garonne ,31220,True,1852
d,163500,65,//www.leboncoin.fr/ventes_immobilieres/900474986.htm?ca=16_s,MontastruclaConseillère,True,Montastruc villa T3 neuve plain pied en loc/access,3,d, Haute-Garonne ,31380,True,2515
d,580000,350,//www.leboncoin.fr/ventes_immobilieres/924766764.htm?ca=16_s,LapeyrouseFossat,True,Grande maison d'architecte 1975,7,d, Haute-Garonne ,31180,True,1657
d,160000,120,//www.leboncoin.fr/ventes_immobilieres/934841838.htm?ca=16_s,Toulouse,True,Maison T3 Bis - A proximité de Toulouse,4,d, Haute-Garonne ,31400,True,1333
,234000,90,//www.leboncoin.fr/ventes_immobilieres/934837141.htm?ca=16_s,Muret,True,Maison 4 pièces 90m2 MURET,4,, Haute-Garonne ,31600,True,2600
,151000,100,//www.leboncoin.fr/ventes_immobilieres/912934763.htm?ca=16_s,Auterive,True,Villa 4 pièces 100 m²,4,, Haute-Garonne ,31190,True,1510
d,180300,80,//www.leboncoin.fr/ventes_immobilieres/852861805.htm?ca=16_s,Gardouch,True,Belle maison de 80 m² + garage à Gardouch,4,d, Haute-Garonne ,31290,True,2253
,220000,80,//www.leboncoin.fr/ventes_immobilieres/852890405.htm?ca=16_s,Gragnague,True,Belle villa de 80 m²+ garage à Gragnague,4,d, Haute-Garonne ,31380,True,2750
d,225250,80,//www.leboncoin.fr/ventes_immobilieres/851997900.htm?ca=16_s,Lévignac,True,Belle villa de 80 m² +Garage à Lévignac,4,d, Haute-Garonne ,31530,True,2815
d,387100,120,//www.leboncoin.fr/ventes_immobilieres/852930042.htm?ca=16_s,SaintJean,True,Magnifique maison moderne de 120 m² à Saint-Jean,4,d, Haute-Garonne ,31240,True,3225
d,192550,80,//www.leboncoin.fr/ventes_immobilieres/851936914.htm?ca=16_s,SaintPaulsurSave,True,Belle villa de 80 m²+ Garage à Saint-Paul,4,d, Haute-Garonne ,31530,True,2406
d,206900,80,//www.leboncoin.fr/ventes_immobilieres/851971855.htm?ca=16_s,Fonsorbes,True,Belle villa de 80 m² + Garage à Fonsorbes,4,d, Haute-Garonne ,31470,True,2586
d,302000,116,//www.leboncoin.fr/ventes_immobilieres/934822311.htm?ca=16_s,Léguevin,True,Maison de 116m² sur terrain de 2140m² avec piscine,5,d, Haute-Garonne ,31490,True,2603
d,198000,89,//www.leboncoin.fr/ventes_immobilieres/851548407.htm?ca=16_s,Fonsorbes,True,Belle villa de 89 m² + Garage à Fonsorbes,4,d, Haute-Garonne ,31470,True,2224
d,198900,97,//www.leboncoin.fr/ventes_immobilieres/853173101.htm?ca=16_s,SaintLys,True,Belle villa de 97 m² + garage à Saint-Lys,5,d, Haute-Garonne ,31470,True,2050
d,169900,80,//www.leboncoin.fr/ventes_immobilieres/880167419.htm?ca=16_s,Venerque,True,Maison de 80 m² + garage à Venerque,4,d, Haute-Garonne ,31810,True,2123
d,85000,150,//www.leboncoin.fr/ventes_immobilieres/906189900.htm?ca=16_s,Nailloux,True,Maison lauragaise a renover a nailloux,5,d, Haute-Garonne ,31560,True,566
d,189900,80,//www.leboncoin.fr/ventes_immobilieres/851965862.htm?ca=16_s,Grenade,True,Maison de 80 m² + Garage à Grenade,4,d, Haute-Garonne ,31330,True,2373
d,399000,140,//www.leboncoin.fr/ventes_immobilieres/906236287.htm?ca=16_s,Pibrac,True,Loft d'exception de 140 m² avec piscine et garage,4,d, Haute-Garonne ,31820,True,2850
d,278000,300,//www.leboncoin.fr/ventes_immobilieres/887276568.htm?ca=16_s,Venerque,True,Immeuble Venerque,0,d, Haute-Garonne ,31810,True,926
d,310000,106,//www.leboncoin.fr/ventes_immobilieres/890425815.htm?ca=16_s,Toulouse,True,Villa 5 pieces de 106m²,5,d, Haute-Garonne ,31100,True,2924
d,165900,98,//www.leboncoin.fr/ventes_immobilieres/880856073.htm?ca=16_s,Miremont,True,Maison de 98 m² à Miremont,4,d, Haute-Garonne ,31190,True,1692
d,174900,81,//www.leboncoin.fr/ventes_immobilieres/920472939.htm?ca=16_s,Vernet,True,NOUVEAU : Maison T4 Neuve 80m² RT 2012,4,d, Haute-Garonne ,31810,True,2159
d,250000,95,//www.leboncoin.fr/ventes_immobilieres/928466058.htm?ca=16_s,Cugnaux,True,Appartement/villa atypique .piscine interieure,3,d, Haute-Garonne ,31270,True,2631
d,629000,175,//www.leboncoin.fr/ventes_immobilieres/921378220.htm?ca=16_s,Toulouse,True,Maison 175 m2 St Exupéry - Pont des Demoiselles,5,d, Haute-Garonne ,31400,True,3594
d,315000,150,//www.leboncoin.fr/ventes_immobilieres/850855117.htm?ca=16_s,Verfeil,True,Belle villa contemporaine type 6 150m2,6,d, Haute-Garonne ,31590,True,2100
d,450000,153,//www.leboncoin.fr/ventes_immobilieres/934781459.htm?ca=16_s,DrémilLafage,True,Maison contemporaine T 5,5,d, Haute-Garonne ,31280,True,2941
d,213000,160,//www.leboncoin.fr/ventes_immobilieres/935002712.htm?ca=16_s,VillefranchedeLauragais,True,Maison de village 6 pièces 160 m²,6,d, Haute-Garonne ,31290,True,1331
d,99000,71,//www.leboncoin.fr/ventes_immobilieres/909792211.htm?ca=16_s,Revel,True,Maison de village 3 pièces 71 m²,3,d, Haute-Garonne ,31250,True,1394
,249000,117,//www.leboncoin.fr/ventes_immobilieres/935002762.htm?ca=16_s,BagnèresdeLuchon,True,Maison 5 pièces 117 m²,5,, Haute-Garonne ,31110,True,2128
,155000,100,//www.leboncoin.fr/ventes_immobilieres/934763571.htm?ca=16_s,Aspet,True,Maison ancienne proche Aspet,4,, Haute-Garonne ,31160,True,1550
d,160000,84,//www.leboncoin.fr/ventes_immobilieres/899267545.htm?ca=16_s,Caraman,True,Maison T4 Caraman 5 Minutes,4,d, Haute-Garonne ,31460,True,1904
d,242000,97,//www.leboncoin.fr/ventes_immobilieres/916259541.htm?ca=16_s,VilleneuveTolosane,True,Maison T5 de 97 m² à Villeneuve-Tolosane,5,d, Haute-Garonne ,31270,True,2494
d,203000,89,//www.leboncoin.fr/ventes_immobilieres/915987755.htm?ca=16_s,Muret,True,Villa de 89 m² + garage à Muret,4,d, Haute-Garonne ,31600,True,2280
,262000,109,//www.leboncoin.fr/ventes_immobilieres/916286610.htm?ca=16_s,Montrabé,True,Magnifique Villa de 109 m² à Montrabe,4,d, Haute-Garonne ,31850,True,2403
d,399000,226,//www.leboncoin.fr/ventes_immobilieres/825612114.htm?ca=16_s,Fonsorbes,True,Villa 6 pièces 226 m²,6,d, Haute-Garonne ,31470,True,1765
d,295000,100,//www.leboncoin.fr/ventes_immobilieres/934756219.htm?ca=16_s,,True,Villa de type T6,8,d,,31270,True,2950
d,182000,88,//www.leboncoin.fr/ventes_immobilieres/915427277.htm?ca=16_s,Villenouvelle,True,Maison de 88 m² à Villenouvelle,4,d, Haute-Garonne ,31290,True,2068
d,650000,180,//www.leboncoin.fr/ventes_immobilieres/887954476.htm?ca=16_s,Blagnac,True,MAISON DE CHARME centre historique de blagnac,7,d, Haute-Garonne ,31700,True,3611
d,163000,80,//www.leboncoin.fr/ventes_immobilieres/933802720.htm?ca=16_s,Muret,True,Maison t4 de 80 m² + garage à Muret,4,d, Haute-Garonne ,31600,True,2037
d,429500,160,//www.leboncoin.fr/ventes_immobilieres/902436345.htm?ca=16_s,Corronsac,True,Maison 5 pièces 160 m²,5,d, Haute-Garonne ,31450,True,2684
d,163900,98,//www.leboncoin.fr/ventes_immobilieres/933366555.htm?ca=16_s,Vernet,True,Villa t5 de 98 m² à Vernet,5,d, Haute-Garonne ,31810,True,1672
d,394500,139,//www.leboncoin.fr/ventes_immobilieres/931266661.htm?ca=16_s,Pompertuzat,True,Maison 5 pièces 139 m²,5,d, Haute-Garonne ,31450,True,2838
d,358000,132,//www.leboncoin.fr/ventes_immobilieres/934743301.htm?ca=16_s,MontaigutsurSave,True,"Villa dans lotissement standing,secteur privilégié",5,d, Haute-Garonne ,31530,True,2712
d,399000,140,//www.leboncoin.fr/ventes_immobilieres/894966067.htm?ca=16_s,RouffiacTolosan,True,Maison 5 pièces 140 m²,5,d, Haute-Garonne ,31180,True,2850
d,253000,83,//www.leboncoin.fr/ventes_immobilieres/885236926.htm?ca=16_s,Colomiers,True,Colomiers villa T4 neuve,4,d, Haute-Garonne ,31770,True,3048
d,182900,98,//www.leboncoin.fr/ventes_immobilieres/933358989.htm?ca=16_s,Carbonne,True,Villa T5 de 98 m² à Carbonne,5,d, Haute-Garonne ,31390,True,1866
d,185000,80,//www.leboncoin.fr/ventes_immobilieres/930002846.htm?ca=16_s,Muret,True,Superbe Maison T4 Contemporaine 80m² +Piscine,4,d, Haute-Garonne ,31600,True,2312
,172000,115,//www.leboncoin.fr/ventes_immobilieres/934720650.htm?ca=16_s,SaintGaudens,True,Maison 115m2 Saint gaudens,5,, Haute-Garonne ,31800,True,1495
d,470000,160,//www.leboncoin.fr/ventes_immobilieres/923144211.htm?ca=16_s,Tournefeuille,True,Maison t6 tournefeuille,7,d, Haute-Garonne ,31170,True,2937
d,230000,130,//www.leboncoin.fr/ventes_immobilieres/934718094.htm?ca=16_s,VillefranchedeLauragais,True,Maison de ville T5 130 m²,6,d, Haute-Garonne ,31290,True,1769
d,279000,142,//www.leboncoin.fr/ventes_immobilieres/934718211.htm?ca=16_s,Launac,True,Villa 6 pièces 142 m²,6,d, Haute-Garonne ,31330,True,1964
d,83000,248,//www.leboncoin.fr/ventes_immobilieres/934714044.htm?ca=16_s,SaintGaudens,True,Bel Immeuble sur rue piétonne,8,d, Haute-Garonne ,31800,True,334
d,277000,110,//www.leboncoin.fr/ventes_immobilieres/934713015.htm?ca=16_s,Eaunes,True,URGENT maison T3 110m2 (voir T4) plain pied 2010,4,d, Haute-Garonne ,31600,True,2518
,222000,90,//www.leboncoin.fr/ventes_immobilieres/913869573.htm?ca=16_s,Fronton,True,Maison 4 pièces 90 m²,4,d, Haute-Garonne ,31620,True,2466
d,232000,102,//www.leboncoin.fr/ventes_immobilieres/932757884.htm?ca=16_s,Muret,True,Maison T4 102m² + jardin,4,d, Haute-Garonne ,31600,True,2274
d,219000,77,//www.leboncoin.fr/ventes_immobilieres/934706100.htm?ca=16_s,Launaguet,True,Maison 4 pièces aux portes de Toulouse,4,d, Haute-Garonne ,31140,True,2844
d,365000,162,//www.leboncoin.fr/ventes_immobilieres/905660970.htm?ca=16_s,VillefranchedeLauragais,True,Maison familiale centre Villefranche,7,d, Haute-Garonne ,31290,True,2253
d,236000,230,//www.leboncoin.fr/ventes_immobilieres/896048707.htm?ca=16_s,Mondavezan,True,Maison commingeoise de caractère,7,d, Haute-Garonne ,31220,True,1026
d,289000,140,//www.leboncoin.fr/ventes_immobilieres/906455149.htm?ca=16_s,Cugnaux,True,Maison toulousaine cugnaux,6,d, Haute-Garonne ,31270,True,2064
d,187000,89,//www.leboncoin.fr/ventes_immobilieres/895080075.htm?ca=16_s,Vernet,True,Maison de 89 m² + garage à Vernet,4,d, Haute-Garonne ,31810,True,2101
d,255000,160,//www.leboncoin.fr/ventes_immobilieres/911448939.htm?ca=16_s,BeaumontsurLèze,True,"Toulousaine atypique, piscine,vue sur les pyrénées",6,d, Haute-Garonne ,31870,True,1593
d,261000,93,//www.leboncoin.fr/ventes_immobilieres/934683241.htm?ca=16_s,Daux,True,Villa 4 pièces 93 m²,4,d, Haute-Garonne ,31700,True,2806
d,220000,90,//www.leboncoin.fr/ventes_immobilieres/934688025.htm?ca=16_s,Cugnaux,True,"Maison T4/5 de 90m², Cugnaux proche St Simon",4,d, Haute-Garonne ,31270,True,2444
d,250000,89,//www.leboncoin.fr/ventes_immobilieres/895038120.htm?ca=16_s,Cornebarrieu,True,Belle maison de 89 m² à Cornebarrieu,4,d, Haute-Garonne ,31700,True,2808
d,85000,90,//www.leboncoin.fr/ventes_immobilieres/925086086.htm?ca=16_s,SaintBéat,True,Maison de village,5,d, Haute-Garonne ,31440,True,944
d,320000,95,//www.leboncoin.fr/ventes_immobilieres/931878129.htm?ca=16_s,Toulouse,True,Maison 6 pièces Croix de Pierre,6,d, Haute-Garonne ,31000,True,3368
d,680000,160,//www.leboncoin.fr/ventes_immobilieres/920194706.htm?ca=16_s,Toulouse,True,Belle Maison Familiale,8,d, Haute-Garonne ,31400,True,4250
d,305000,210,//www.leboncoin.fr/ventes_immobilieres/370731429.htm?ca=16_s,LagardellesurLèze,True,Maison T7/8 à Lagardelle de 250 m²,8,d, Haute-Garonne ,31870,True,1452
